raceId;year;round;circuitId;name;date;time;day;mounth;iddate
1;2009;1;1;Australian Grand Prix;29/03/09;6:00:00;29;3;2
2;2009;2;2;Malaysian Grand Prix;05/04/09;9:00:00;5;4;4
3;2009;3;17;Chinese Grand Prix;19/04/09;7:00:00;19;4;6
4;2009;4;3;Bahrain Grand Prix;26/04/09;12:00:00;26;4;8
5;2009;5;4;Spanish Grand Prix;10/05/09;12:00:00;10;5;10
6;2009;6;6;Monaco Grand Prix;24/05/09;12:00:00;24;5;12
7;2009;7;5;Turkish Grand Prix;07/06/09;12:00:00;7;6;14
8;2009;8;9;British Grand Prix;21/06/09;12:00:00;21;6;16
9;2009;9;20;German Grand Prix;12/07/09;12:00:00;12;7;18
10;2009;10;11;Hungarian Grand Prix;26/07/09;12:00:00;26;7;20
11;2009;11;12;European Grand Prix;23/08/09;12:00:00;23;8;22
12;2009;12;13;Belgian Grand Prix;30/08/09;12:00:00;30;8;24
13;2009;13;14;Italian Grand Prix;13/09/09;12:00:00;13;9;26
14;2009;14;15;Singapore Grand Prix;27/09/09;12:00:00;27;9;28
15;2009;15;22;Japanese Grand Prix;04/10/09;5:00:00;4;10;30
16;2009;16;18;Brazilian Grand Prix;18/10/09;16:00:00;18;10;32
17;2009;17;24;Abu Dhabi Grand Prix;01/11/09;11:00:00;1;11;34
18;2008;1;1;Australian Grand Prix;16/03/08;4:30:00;16;3;36
19;2008;2;2;Malaysian Grand Prix;23/03/08;7:00:00;23;3;38
20;2008;3;3;Bahrain Grand Prix;06/04/08;11:30:00;6;4;40
21;2008;4;4;Spanish Grand Prix;27/04/08;12:00:00;27;4;42
22;2008;5;5;Turkish Grand Prix;11/05/08;12:00:00;11;5;44
23;2008;6;6;Monaco Grand Prix;25/05/08;12:00:00;25;5;46
24;2008;7;7;Canadian Grand Prix;08/06/08;17:00:00;8;6;48
25;2008;8;8;French Grand Prix;22/06/08;12:00:00;22;6;50
26;2008;9;9;British Grand Prix;06/07/08;12:00:00;6;7;52
27;2008;10;10;German Grand Prix;20/07/08;12:00:00;20;7;54
28;2008;11;11;Hungarian Grand Prix;03/08/08;12:00:00;3;8;56
29;2008;12;12;European Grand Prix;24/08/08;12:00:00;24;8;58
30;2008;13;13;Belgian Grand Prix;07/09/08;12:00:00;7;9;60
31;2008;14;14;Italian Grand Prix;14/09/08;12:00:00;14;9;62
32;2008;15;15;Singapore Grand Prix;28/09/08;12:00:00;28;9;64
33;2008;16;16;Japanese Grand Prix;12/10/08;4:30:00;12;10;66
34;2008;17;17;Chinese Grand Prix;19/10/08;7:00:00;19;10;68
35;2008;18;18;Brazilian Grand Prix;02/11/08;17:00:00;2;11;70
36;2007;1;1;Australian Grand Prix;18/03/07;3:00:00;18;3;72
37;2007;2;2;Malaysian Grand Prix;08/04/07;7:00:00;8;4;74
38;2007;3;3;Bahrain Grand Prix;15/04/07;11:30:00;15;4;76
39;2007;4;4;Spanish Grand Prix;13/05/07;12:00:00;13;5;78
40;2007;5;6;Monaco Grand Prix;27/05/07;12:00:00;27;5;80
41;2007;6;7;Canadian Grand Prix;10/06/07;17:00:00;10;6;82
42;2007;7;19;United States Grand Prix;17/06/07;17:00:00;17;6;84
43;2007;8;8;French Grand Prix;01/07/07;12:00:00;1;7;86
44;2007;9;9;British Grand Prix;08/07/07;12:00:00;8;7;88
45;2007;10;20;European Grand Prix;22/07/07;12:00:00;22;7;90
46;2007;11;11;Hungarian Grand Prix;05/08/07;12:00:00;5;8;92
47;2007;12;5;Turkish Grand Prix;26/08/07;12:00:00;26;8;94
48;2007;13;14;Italian Grand Prix;09/09/07;12:00:00;9;9;96
49;2007;14;13;Belgian Grand Prix;16/09/07;12:00:00;16;9;98
50;2007;15;16;Japanese Grand Prix;30/09/07;4:30:00;30;9;100
51;2007;16;17;Chinese Grand Prix;07/10/07;6:00:00;7;10;102
52;2007;17;18;Brazilian Grand Prix;21/10/07;16:00:00;21;10;104
53;2006;1;3;Bahrain Grand Prix;12/03/06;14:30:00;12;3;106
54;2006;2;2;Malaysian Grand Prix;19/03/06;15:00:00;19;3;108
55;2006;3;1;Australian Grand Prix;02/04/06;14:00:00;2;4;110
