resultId;constrocturId;driverId;raceId;points;laps;fastestLapTime;fastestLapSpeed;rank;iddate;circuitld
1;1;1;18;10;58;1:27.452;218.3;2;36;1
2;2;2;18;8;58;1:27.739;217.586;3;36;1
3;3;3;18;6;58;1:28.090;216.719;5;36;1
4;4;4;18;5;58;1:28.603;215.464;7;36;1
5;1;5;18;4;58;1:27.418;218.385;1;36;1
6;3;6;18;3;57;1:29.639;212.974;14;36;1
7;5;7;18;2;55;1:29.534;213.224;12;36;1
8;6;8;18;1;53;1:27.903;217.18;4;36;1
9;2;9;18;0;47;1:28.753;215.1;9;36;1
10;7;10;18;0;43;1:29.558;213.166;13;36;1
11;8;11;18;0;32;1:30.892;210.038;15;36;1
12;4;12;18;0;30;1:31.384;208.907;16;36;1
13;6;13;18;0;29;1:28.175;216.51;6;36;1
14;9;14;18;0;25;1:29.502;213.3;11;36;1
15;7;15;18;0;19;1:29.310;213.758;10;36;1
16;10;16;18;0;8;1:32.021;207.461;17;36;1
22;11;22;18;0;58;1:28.736;215.141;8;36;1
23;6;8;19;10;56;1:35.405;209.158;2;38;2
24;2;9;19;8;56;1:35.921;208.033;6;38;2
25;1;5;19;6;56;1:35.922;208.031;7;38;2
26;7;15;19;5;56;1:36.068;207.715;8;38;2
27;1;1;19;4;56;1:35.462;209.033;3;38;2
28;2;2;19;3;56;1:35.366;209.244;1;38;2
29;9;17;19;2;56;1:36.696;206.366;12;38;2
30;4;4;19;1;56;1:36.288;207.24;10;38;2
31;9;14;19;0;56;1:36.206;207.417;9;38;2
32;11;18;19;0;56;1:35.715;208.481;4;38;2
33;4;12;19;0;56;1:36.956;205.812;15;38;2
34;10;21;19;0;55;1:36.962;205.8;16;38;2
35;11;22;19;0;55;1:36.693;206.372;11;38;2
36;3;3;19;0;55;1:36.782;206.182;13;38;2
37;8;19;19;0;55;1:38.171;203.265;18;38;2
38;8;11;19;0;54;1:38.504;202.578;19;38;2
39;3;6;19;0;54;1:37.711;204.222;17;38;2
40;5;20;19;0;39;1:36.870;205.995;14;38;2
41;6;13;19;0;30;1:35.914;208.048;5;38;2
42;10;16;19;0;5;1:40.330;198.891;20;38;2
45;6;13;20;10;57;1:33.600;208.153;3;40;3
46;6;8;20;8;57;1:33.709;207.911;4;40;3
47;2;9;20;6;57;1:33.775;207.765;5;40;3
48;2;2;20;5;57;1:33.565;208.231;2;40;3
49;1;5;20;4;57;1:33.193;209.062;1;40;3
